"bin_midpoint","stage","hemisphere","slope","intercept","slope_se","slope_lower_95","slope_upper_95","p_value","r_squared","n_cells_model","resample_id","k_sample","slope_filter_id"
0.00585,"Holocene","Southern",0.196116959546815,21.8777382209261,0.370685778121893,-0.530427165572095,0.922661084665724,0.615752565622758,0.0445722988434417,8,13,1,"occurrence5"
0.00585,"Holocene","Southern",0.196116959546815,21.8777382209261,0.370685778121893,-0.530427165572095,0.922661084665724,0.615752565622758,0.0445722988434417,8,14,1,"occurrence5"
0.00585,"Holocene","Southern",0.195883850157326,16.5532022764281,0.374824230874076,-0.538771642355863,0.930539342670514,0.619978285647697,0.0435370355104622,8,15,1,"occurrence5"
0.00585,"Holocene","Southern",0.249938184126706,18.7556351054213,0.40288065038006,-0.539707890618211,1.03958425887162,0.557821628824534,0.0602782231874406,8,16,1,"occurrence5"
0.00585,"Holocene","Southern",0.221676530154911,15.3964553721481,0.38493957470173,-0.53280503626048,0.976158096570303,0.5856362407742,0.0523767746896802,8,17,1,"occurrence5"
0.00585,"Holocene","Southern",0.196116959546815,21.8777382209261,0.370685778121893,-0.530427165572095,0.922661084665724,0.615752565622758,0.0445722988434417,8,18,1,"occurrence5"
0.00585,"Holocene","Southern",0.196116959546815,21.8777382209261,0.370685778121893,-0.530427165572095,0.922661084665724,0.615752565622758,0.0445722988434417,8,19,1,"occurrence5"
0.00585,"Holocene","Southern",0.142804432233213,19.6695236058948,0.352292750123734,-0.547689358009307,0.833298222475733,0.699272838845955,0.0266557662920817,8,20,1,"occurrence5"
0.00585,"Holocene","Southern",0.249938184126706,18.7556351054213,0.40288065038006,-0.539707890618211,1.03958425887162,0.557821628824534,0.0602782231874406,8,21,1,"occurrence5"
0.00585,"Holocene","Southern",0.142804432233213,19.6695236058948,0.352292750123734,-0.547689358009307,0.833298222475733,0.699272838845955,0.0266557662920817,8,22,1,"occurrence5"
0.00585,"Holocene","Southern",0.196116959546815,21.8777382209261,0.370685778121893,-0.530427165572095,0.922661084665724,0.615752565622758,0.0445722988434417,8,23,1,"occurrence5"
0.00585,"Holocene","Southern",0.142804432233213,19.6695236058948,0.352292750123734,-0.547689358009307,0.833298222475733,0.699272838845955,0.0266557662920817,8,24,1,"occurrence5"
0.00585,"Holocene","Southern",0.196116959546815,21.8777382209261,0.370685778121893,-0.530427165572095,0.922661084665724,0.615752565622758,0.0445722988434417,8,25,1,"occurrence5"
0.00585,"Holocene","Southern",0.277797158548757,17.5548371507727,0.414526982032582,-0.534675726235104,1.09027004333262,0.527695064506862,0.0696386583319615,8,26,1,"occurrence5"
0.00585,"Holocene","Southern",0.249938184126706,18.7556351054213,0.40288065038006,-0.539707890618211,1.03958425887162,0.557821628824534,0.0602782231874406,8,27,1,"occurrence5"
0.00585,"Holocene","Southern",0.277797158548757,17.5548371507727,0.414526982032582,-0.534675726235104,1.09027004333262,0.527695064506862,0.0696386583319615,8,28,1,"occurrence5"
0.00585,"Holocene","Southern",0.196116959546815,21.8777382209261,0.370685778121893,-0.530427165572095,0.922661084665724,0.615752565622758,0.0445722988434417,8,29,1,"occurrence5"
0.00585,"Holocene","Southern",0.195883850157326,16.5532022764281,0.374824230874076,-0.538771642355863,0.930539342670514,0.619978285647697,0.0435370355104622,8,30,1,"occurrence5"
0.00585,"Holocene","Southern",0.142804432233213,19.6695236058948,0.352292750123734,-0.547689358009307,0.833298222475733,0.699272838845955,0.0266557662920817,8,31,1,"occurrence5"
0.00585,"Holocene","Southern",0.142804432233213,19.6695236058948,0.352292750123734,-0.547689358009307,0.833298222475733,0.699272838845955,0.0266557662920817,8,32,1,"occurrence5"
